datetime,temp,RH,pp,radiation,wind
2016/02/09 00:00,20.91,81,0,0,0
2016/02/09 01:00,19.75,86,0,0,0
2016/02/09 02:00,19.23,89,0,0,0
2016/02/09 03:00,18.99,89,0,0,0
2016/02/09 04:00,18.62,90,0,0,0.04
2016/02/09 05:00,17.86,91,0,0,0
2016/02/09 06:00,17.68,91,0,0,0.08
2016/02/09 07:00,16.73,93,0,0,0
2016/02/09 08:00,17.25,91,0,40,0.04
2016/02/09 09:00,20.84,75,0,219,0.02
2016/02/09 10:00,23.6,64,0,401,0.36
2016/02/09 11:00,24.77,61,0,541,1.2
2016/02/09 12:00,25.94,55,0,642,1.46
2016/02/09 13:00,26.41,52,0,732,1.94
2016/02/09 14:00,27.17,50,0,793,2.32
2016/02/09 15:00,27.89,49,0,784,2.5
2016/02/09 16:00,28.83,47,0,546,2.54
2016/02/09 17:00,29.28,43,0,422,1.62
2016/02/09 18:00,29.35,44,0,362,1.64
2016/02/09 19:00,28.27,49,0,133,1.7
2016/02/09 20:00,27.4,54,0,46,0.58
2016/02/09 21:00,26.18,60,0,2,0.14
2016/02/09 22:00,25.27,66,0,0,0.38
2016/02/09 23:00,24.71,68,0,0,0.14
